SnailID,Treatment,Status,Theta_circmean,Alpha_circmean,Theta_circrho,Alpha_circrho,Position_mean,Vel_mean,Position_sd,Vel_sd
1,Gradient,Uninfected,0.025555977,0.000283884,0.6768038,0.965514097,47.95628999,0.001220736,8.727875472,0.005852738
2,Gradient,Infected,-0.133882156,-0.007230742,0.090022024,0.7936874,34.35321381,0.00532679,8.493402054,0.013006193
3,Gradient,Uninfected,3.040301787,0.000594448,0.186257679,0.837871732,32.73628225,0.003484351,15.14593955,0.009742717
4,Gradient,Uninfected,0.060218642,0.001943266,0.153134182,0.86206271,42.74566496,0.005271968,6.905355462,0.012607394
5,Gradient,Uninfected,0.291918598,-0.002866925,0.032525007,0.680059395,27.08747791,0.012562876,10.56554967,0.019336851
6,Gradient,Uninfected,2.892244279,0.005672379,0.049660507,0.718701776,15.79224018,0.00755997,7.652249179,0.015781321
7,Gradient,Infected,2.202141678,0.005700476,0.002943871,0.739079882,27.61667759,0.009648517,11.73454115,0.020238014
8,Gradient,Uninfected,-0.538498778,0.010427868,0.036399616,0.697177599,28.82145188,0.020957449,7.677570082,0.029495652
9,Gradient,Uninfected,-0.024334529,0.001381847,0.206460056,0.899070978,28.93511079,0.00126379,1.084399523,0.00489626
10,Gradient,Infected,-2.96747326,-0.001668545,0.040487376,0.731128074,35.09718937,0.009157028,6.164040713,0.020266261
11,Gradient,Uninfected,-2.996988065,-4.62849E-05,0.5491656,0.896244854,10.1124915,0.00123478,8.172863113,0.005455198
12,Gradient,Uninfected,-0.188353873,-0.004539996,0.083624782,0.813896036,26.40250731,0.004952304,3.986066852,0.012038352
13,Gradient,Uninfected,2.684614982,0.032715983,0.036049676,0.660497101,29.36190978,0.010479524,5.747245466,0.01968028
14,Gradient,Uninfected,0.011654827,-0.006804388,0.090679721,0.781474419,33.7381263,0.006320201,4.997459572,0.013019587
15,Gradient,Uninfected,2.701023387,-0.021992775,0.054116011,0.635277092,37.75308615,0.019821833,5.38375306,0.034401698
16,Gradient,Infected,2.91594163,-0.004755816,0.087350577,0.865013695,17.86631883,0.001813933,4.168414098,0.006366179
